Year;Economic Activity;Type of Fixed Assets;Purchases in Thousands SR
2009;Manufacture of medical, precision and optical instruments, watches and clocks;Other assets;1527.0
2009;Manufacture of medical, precision and optical instruments, watches and clocks;Land and Buildings;4441.0
2009;Manufacture of medical, precision and optical instruments, watches and clocks;Transportation Equipment;2059.0
2009;Manufacture of motor vehicles, trailers and semi-trailers;Other assets;1043.0
2009;Manufacture of motor vehicles, trailers and semi-trailers;Land and Buildings;1939.0
2009;Manufacture of motor vehicles, trailers and semi-trailers;Other Equipment;6053.0
2009;Manufacture of motor vehicles, trailers and semi-trailers;Furniture;3998.0
2009;Manufacture of other transport equipment;Other Equipment;2979.0
2009;Manufacture of other transport equipment;Furniture;427.0
2009;"Manufacture of furniture; manufacturing";Land and Buildings;14016.0
2009;Real estate activities;Furniture;18552.0
2009;Renting of machinery and equipment without operator and of personal and household goods;Other Equipment;3349.0
2009;Computer and related activities;Other Equipment;10903.0
2009;Computer and related activities;Furniture;9018.0
2009;Research and development;Other Equipment;0.0
2009;Research and development;Furniture;0.0
2009;Education;Furniture;17079.0
2009;Health and social work;Furniture;193780.0
2009;Sewage and refuse disposal and sanitation;Land and Buildings;28649.0
2009;Sewage and refuse disposal and sanitation;Other Equipment;17390.0
2009;service activities;Land and Buildings;413.0
2009;service activities;Transportation Equipment;11802.0
2009;service activities;Other Equipment;1795.0
2009;Total;Transportation Equipment;12327047.0
2008;Fishing;Total;52609.0
2008;Fishing;Furniture;3523.0
2008;Exploration of oil and natural gas;Other assets;33393.0
2008;Activities for mining and quarrying;Land and Buildings;146778.0
2008;Activities for mining and quarrying;Other Equipment;812353.0
2009;Agriculture and hunting and related service activities;Transportation Equipment;16597.0
2009;Forestry and logging;Transportation Equipment;0.0
2009;Fishing;Transportation Equipment;2137.0
2009;Fishing;Total;54821.0
2009;Fishing;Furniture;3672.0
2009;Exploration of oil and natural gas;Transportation Equipment;174344.0
2009;Mining of metal ores;Furniture;475.0
2009;Activities for mining and quarrying;Other Equipment;851363.0
2009;Manufacture of food prod. and beverages;Other assets;910946.0
2009;Manufacture of tobacco products;Land and Buildings;0.0
2009;Industry of paper and its products;Transportation Equipment;20867.0
2009;Industry of paper and its products;Total;2864603.0
2009;Industry of paper and its products;Furniture;28087.0
2009;Printing & Publishing;Other assets;28239.0
2009;Products of refined petroleum;Total;407410.0
2009;Manufacture of rubber and plastics products;Land and Buildings;125677.0
2009;Manufacture of rubber and plastics products;Transportation Equipment;264435.0
2009;Manufacture of rubber and plastics products;Total;1908581.0
2009;Manufacture of  non-metallic mineral products;Other assets;1029038.0
2009;Manufacture of  non-metallic mineral products;Land and Buildings;1901974.0
2009;Manufacture of basic metals;Other assets;285022.0
2009;Manufacture of basic metals;Transportation Equipment;14321.0
2009;Manufacture of fabricated metal products;Total;877414.0
2009;Manufacture of machinery and equipment;Land and Buildings;32817.0
2009;Manufacture of radio, television and communication equipment and apparatus;Other assets;7816.0
2009;Manufacture of radio, television and communication equipment and apparatus;Transportation Equipment;3453.0
2009;Manufacture of other transport equipment;Land and Buildings;559.0
2009;Recycling;Other assets;0.0
2009;Electricity, gas and steam;Total;6004931.0
2009;Collection, purification and distribution of water;Other assets;23484.0
2009;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Land and Buildings;239349.0
2009;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Other Equipment;60289.0
2009;Retail trade and repair of personal and household goods;Transportation Equipment;155767.0
2009;Retail trade and repair of personal and household goods;Total;1360353.0
2009;Hotels and restaurants;Other Equipment;62511.0
2009;"Land transport; transport via pipelines";Land and Buildings;153704.0
2009;Water transport;Other assets;0.0
2009;Water transport;Land and Buildings;0.0
2009;Air transport;Total;2433123.0
2009;"Supporting and auxiliary transport activities; activities of travel agencies";Other Equipment;94191.0
2009;Insurance and pension funding, except compulsory social security;Transportation Equipment;40643.0
2009;Insurance and pension funding, except compulsory social security;Other Equipment;41608.0
2009;Activities auxiliary to financial intermediation;Furniture;730.0
2009;Real estate activities;Land and Buildings;802686.0
2009;Real estate activities;Total;872414.0
2009;Real estate activities;Other Equipment;18419.0
2009;Renting of machinery and equipment without operator and of personal and household goods;Transportation Equipment;159676.0
2009;Renting of machinery and equipment without operator and of personal and household goods;Total;165199.0
2009;Computer and related activities;Total;70379.0
2009;Research and development;Land and Buildings;0.0
2009;Research and development;Total;0.0
2009;Activities, business services;Other assets;265260.0
2009;Education;Other assets;16737.0
2009;Education;Land and Buildings;66565.0
2009;Education;Total;123097.0
2009;Sewage and refuse disposal and sanitation;Furniture;2393.0
2009;Activities of membership organizations n.e.c.;Land and Buildings;2442.0
2009;Recreational, cultural and sporting activities;Land and Buildings;29253.0
2009;Recreational, cultural and sporting activities;Other Equipment;9414.0
2009;Total;Other Equipment;77224357.0
2009;Total;Furniture;4144351.0
2008;Agriculture and hunting and related service activities;Total;185149.0
2008;Forestry and logging;Transportation Equipment;0.0
2008;Fishing;Transportation Equipment;2094.0
2008;Exploration of oil and natural gas;Land and Buildings;991597.0
2008;Exploration of oil and natural gas;Total;119372418.0
2008;Exploration of oil and natural gas;Other Equipment;117871659.0
2008;Mining of metal ores;Land and Buildings;1444.0
2008;Mining of metal ores;Total;2363.0
2008;Mining of metal ores;Other Equipment;433.0
2008;Mining of metal ores;Furniture;460.0
2008;Activities for mining and quarrying;Other assets;14159.0
2008;Activities for mining and quarrying;Transportation Equipment;36084.0
2008;Activities for mining and quarrying;Total;1023364.0
2008;Activities for mining and quarrying;Furniture;13990.0
2008;Manufacture of tobacco products;Furniture;16.0
2008;Manufacture of textiles;Land and Buildings;24959.0
2008;Manufacture of textiles;Furniture;1809.0
2008;Manufacturing of apparel, preparing & tanning fur;Total;27271.0
2008;Manufacture of wood and of products of wood and cork;Land and Buildings;34231.0
2008;Industry of paper and its products;Other assets;266151.0
